Conditions;ICD-10;ICD-11
Long chain 3-hydroxyacyl-CoA dehydrogenase deficiency;E71.3;5C52.01
3-methylcrotonyl-CoA carboxylase deficiency;E71.1;5C50.E0
3-methylcrotonyl-CoA carboxylase deficiency;E71.1;5C50.E0
3C syndrome;Q87.8;
3C syndrome;Q87.8;
6-pyruvoyl-tetrahydropterin synthase deficiency;E70.1;5C59.01
Abetalipoproteinemia;E78.6;5C81.1
Achondroplasia;Q77.4;LD24.00
Blue cone monochromatism;H53.5;9B70
Blue cone monochromatism;H53.5;9B70
Fatal infantile lactic acidosis with methylmalonic aciduria;E71.1;5C53.20
3-hydroxy-3-methylglutaric aciduria;E71.1;5C50.E0
Succinic semialdehyde dehydrogenase deficiency;E72.8;5C50.E1
Argininosuccinic aciduria;E72.2;5C50.A0
Fumaric aciduria;E88.8;5C53.1
Glutaryl-CoA dehydrogenase deficiency;E72.3;5C50.E1
Mevalonic aciduria;E88.8;5C52.10
Hereditary orotic aciduria;E79.8;3A03.0
Oxoglutaric aciduria;E88.8;5C53.1
Isovaleric acidemia;E71.1;5C50.E0
Propionic acidemia;E71.1;5C50.E0
Propionic acidemia;E71.1;5C50.E0
Acrocallosal syndrome;Q04.0;LD2F.1Y
Acrocallosal syndrome;Q04.0;LD2F.1Y
Acrodermatitis enteropathica;E83.2;5C64.20
Acromesomelic dysplasia, Maroteaux type;Q77.8;LD24.9
Dyschromatosis symmetrica hereditaria;L81.8;EC23.Y
Medium chain acyl-CoA dehydrogenase deficiency;E71.3;5C52.01
Neonatal adrenoleukodystrophy;E71.3;5A74.Y
Neonatal adrenoleukodystrophy;E71.3;5A74.Y
Neonatal adrenoleukodystrophy;E71.3;5A74.Y
Neonatal adrenoleukodystrophy;E71.3;5A74.Y
Neonatal adrenoleukodystrophy;E71.3;5A74.Y
Neonatal adrenoleukodystrophy;E71.3;5A74.Y
Neonatal adrenoleukodystrophy;E71.3;5A74.Y
Neonatal adrenoleukodystrophy;E71.3;5A74.Y
Neonatal adrenoleukodystrophy;E71.3;5A74.Y
Neonatal adrenoleukodystrophy;E71.3;5A74.Y
Neonatal adrenoleukodystrophy;E71.3;5A74.Y
Neonatal adrenoleukodystrophy;E71.3;5A74.Y
Neonatal adrenoleukodystrophy;E71.3;5A74.Y
Adenosine monophosphate deaminase deficiency;G71.3;5C55.0Y
Adenosine monophosphate deaminase deficiency;G71.3;5C55.0Y
Adenylosuccinate lyase deficiency;E79.8;5C55.0Y
X-linked agammaglobulinemia;D80.0;4A01.00
Congenital bilateral absence of vas deferens;Q55.4;LB57
Congenital bilateral absence of vas deferens;Q55.4;LB57
Aicardi-Goutières syndrome;G31.8;5C55.2
Aicardi-Goutières syndrome;G31.8;5C55.2
Aicardi-Goutières syndrome;G31.8;5C55.2
Aicardi-Goutières syndrome;G31.8;5C55.2
Aicardi-Goutières syndrome;G31.8;5C55.2
Aicardi-Goutières syndrome;G31.8;5C55.2
Aicardi-Goutières syndrome;G31.8;5C55.2
Aicardi-Goutières syndrome;G31.8;5C55.2
Albers-Schönberg osteopetrosis;Q78.2;LD24.10
X-linked recessive ocular albinism;E70.3;9E1Y
X-linked recessive ocular albinism;E70.3;9E1Y
Alkaptonuria;E70.2;5C50.10
Glycogen storage disease due to aldolase A deficiency;E74.0;5C51.3
Allan-Herndon-Dudley syndrome;G31.8;5A00.0Y
Alpha-1-antitrypsin deficiency;E88.0;5C5A
Alpha-sarcoglycan-related limb-girdle muscular dystrophy R3;G71.0;8C70.41
Alström syndrome;E34.8;LD2H.Y
Leber congenital amaurosis;H35.5;9B70
Leber congenital amaurosis;H35.5;9B70
Leber congenital amaurosis;H35.5;9B70
Leber congenital amaurosis;H35.5;9B70
Leber congenital amaurosis;H35.5;9B70
Leber congenital amaurosis;H35.5;9B70
Leber congenital amaurosis;H35.5;9B70
Leber congenital amaurosis;H35.5;9B70
Leber congenital amaurosis;H35.5;9B70
Leber congenital amaurosis;H35.5;9B70
Leber congenital amaurosis;H35.5;9B70
Leber congenital amaurosis;H35.5;9B70
Leber congenital amaurosis;H35.5;9B70
Leber congenital amaurosis;H35.5;9B70
Leber congenital amaurosis;H35.5;9B70
Leber congenital amaurosis;H35.5;9B70
Leber congenital amaurosis;H35.5;9B70
Leber congenital amaurosis;H35.5;9B70
Leber congenital amaurosis;H35.5;9B70
Leber congenital amaurosis;H35.5;9B70
Leber congenital amaurosis;H35.5;9B70
Leber congenital amaurosis;H35.5;9B70
Chylomicron retention disease;E78.6;5C81.1
Congenital alpha2-antiplasmin deficiency;D68.8;3B50.0
Hereditary thrombophilia due to congenital antithrombin deficiency;D68.5;3B61.0Y
Fanconi anemia;D61.0;3A70.0
Fanconi anemia;D61.0;3A70.0
Fanconi anemia;D61.0;3A70.0
Fanconi anemia;D61.0;3A70.0
Fanconi anemia;D61.0;3A70.0
Fanconi anemia;D61.0;3A70.0
Fanconi anemia;D61.0;3A70.0
Fanconi anemia;D61.0;3A70.0
Fanconi anemia;D61.0;3A70.0
Fanconi anemia;D61.0;3A70.0
Fanconi anemia;D61.0;3A70.0
Fanconi anemia;D61.0;3A70.0
Fanconi anemia;D61.0;3A70.0
Fanconi anemia;D61.0;3A70.0
Fanconi anemia;D61.0;3A70.0
Fanconi anemia;D61.0;3A70.0
Fanconi anemia;D61.0;3A70.0
Fanconi anemia;D61.0;3A70.0
Fanconi anemia;D61.0;3A70.0
Fanconi anemia;D61.0;3A70.0
Fanconi anemia;D61.0;3A70.0
Fanconi anemia;D61.0;3A70.0
